time_s,x,y,z,qx,qy,qz,qw,target_fz
3.685463,0.009358445,-0.032016525,0.021213967,0.616331951400,0.050709863552,-0.139365931782,0.773395482584,-0.491828
3.752078,0.009406595,-0.033348098,0.019174091,0.614548740686,0.053571184943,-0.146851429611,0.773236465182,0.627832
3.818927,0.009402208,-0.033858187,0.018128113,0.615427318884,0.056377216263,-0.152337688253,0.771274304897,1.222035
3.852293,0.009501726,-0.034136786,0.017844696,0.616116184612,0.056728928349,-0.153706907563,0.770426415899,0.991088
3.918879,0.009375292,-0.033896899,0.016531568,0.616477365857,0.060824064825,-0.158018901755,0.768951310040,0.684207
3.985556,0.009238278,-0.033709757,0.015621697,0.616493671056,0.063179924540,-0.160888291744,0.768152854751,1.145274
4.052357,0.009029952,-0.032844796,0.015520168,0.616715879136,0.065740204519,-0.162748765367,0.767367310551,1.210643
4.118760,0.009089962,-0.032672218,0.016222196,0.616501647976,0.065023773172,-0.162776003401,0.767594684506,1.229664
4.185543,0.009250107,-0.032828926,0.016865875,0.615227321839,0.063776439287,-0.161638287932,0.768960969184,1.025062
4.252405,0.009122691,-0.032817880,0.016606883,0.614429763231,0.064967766114,-0.164220857468,0.768951731512,0.784552
4.285560,0.009195194,-0.032563929,0.016903380,0.615394041526,0.064718494009,-0.163425176804,0.768370940220,1.300688
4.352274,0.009133368,-0.032874081,0.016246934,0.614045742084,0.065893909770,-0.164946673079,0.769024326224,1.170397
4.419321,0.009164484,-0.032963849,0.016500704,0.614448534623,0.066544723604,-0.166179602422,0.768380854654,0.659212
4.452558,0.009336155,-0.033564145,0.016712408,0.613993941292,0.065038093739,-0.165726046952,0.768970977203,0.573736
4.519170,0.009283104,-0.033086337,0.017260657,0.614508816835,0.065731339548,-0.166204580342,0.768397255661,-0.090637
4.552820,0.009355379,-0.033248127,0.017196424,0.614491660347,0.065618277076,-0.165529789063,0.768566282119,0.261436
4.619445,0.009353047,-0.033141416,0.017151169,0.614084963662,0.066243049815,-0.165025631386,0.768946068812,0.776536
4.685847,0.009287413,-0.032672816,0.017904076,0.615881969468,0.066668464809,-0.165546904021,0.767358415640,0.657111
4.752651,0.009463047,-0.033172936,0.018538016,0.616606890595,0.064462806793,-0.164226534153,0.767248417718,0.369914
4.785943,0.009521299,-0.033116549,0.018544775,0.616403796427,0.064683799918,-0.163349025986,0.767580263873,0.058125
4.852597,0.009504916,-0.033157753,0.018633280,0.616791665606,0.064590934575,-0.163795661502,0.767181226102,-0.010197
4.886084,0.009473381,-0.033288419,0.018224899,0.615788118126,0.065133383920,-0.164798409956,0.767726591925,0.259784
4.952748,0.009457362,-0.033099341,0.018510449,0.614609773590,0.065051472825,-0.164444557378,0.768752963988,-0.158158
5.019649,0.009563325,-0.034015629,0.018462028,0.614374529785,0.064142057178,-0.166261184236,0.768626666379,-0.252476
5.086411,0.009642573,-0.034472307,0.018409442,0.611306706149,0.063614774419,-0.167329439070,0.770881398344,-0.547220
5.119676,0.009847127,-0.034751192,0.018387119,0.609508664673,0.063043540668,-0.165770551247,0.772686756718,-0.600558
5.186241,0.009824184,-0.034046432,0.018692508,0.608864441521,0.066053319024,-0.167187959089,0.772637843516,-1.429764
5.253239,0.009971733,-0.034754698,0.018697521,0.606587393574,0.067098499056,-0.170452168089,0.773624963257,-1.710681
5.286283,0.010230762,-0.035287807,0.019047577,0.604928529030,0.065711279278,-0.169595741357,0.775229506053,-1.994006
5.386332,0.010424891,-0.035071271,0.020149176,0.601736098466,0.064822449042,-0.168554806244,0.778010922285,-2.232166
5.453403,0.010580281,-0.035002716,0.020319636,0.600736946433,0.065228087268,-0.168097660676,0.778847606594,-2.204805
5.519796,0.010578358,-0.035305735,0.020030404,0.598736134730,0.066181439089,-0.171138957256,0.779645121448,-2.205208
5.586806,0.010758607,-0.036077929,0.019911431,0.595870507773,0.065535752290,-0.172076741191,0.781685997239,-2.237265
5.620165,0.010809256,-0.035594773,0.020280192,0.595651450318,0.066242644688,-0.171707643609,0.781874508399,-2.319515
5.686764,0.011001130,-0.035831881,0.020648934,0.593414224290,0.065378696121,-0.171297938604,0.783736052976,-2.392011
5.753690,0.011127022,-0.035759300,0.021001530,0.591637736815,0.065798090361,-0.171394074510,0.785021955683,-2.392467
5.787032,0.011181031,-0.035899767,0.021386344,0.590903657590,0.065415032983,-0.172660260435,0.785329341979,-2.395456
5.853714,0.011284292,-0.036417468,0.021202379,0.588466514945,0.066348317677,-0.174689754550,0.786631140488,-2.333567
5.920418,0.011538785,-0.036352318,0.022132246,0.586939502147,0.065656696829,-0.173825011437,0.788020357846,-2.360153
5.953551,0.011591339,-0.036947900,0.022035524,0.585573700933,0.065634547188,-0.176300782693,0.788488161618,-2.325552
6.020377,0.011850255,-0.037312058,0.022660679,0.583386537287,0.065019756719,-0.176643517509,0.790082050847,-2.377445
6.087066,0.012024235,-0.037996824,0.023498180,0.581518123509,0.063827552734,-0.178966228901,0.791033377586,-2.264536
6.120220,0.012268253,-0.038797200,0.023567229,0.580212955951,0.062878251643,-0.179347538789,0.791980878272,-2.209501
6.186917,0.012475119,-0.039212035,0.024656683,0.579151179890,0.061949338311,-0.181242574406,0.792399722071,-2.190370
6.253781,0.012735724,-0.039544952,0.025603035,0.576554511384,0.060976099009,-0.181693413036,0.794263378491,-1.617314
6.287068,0.012938337,-0.039621552,0.026391889,0.575208006726,0.059617854555,-0.180443851638,0.795626468151,-1.647523
6.353852,0.013126544,-0.040187573,0.027062474,0.572177706043,0.058643056213,-0.182088768188,0.797506956186,-1.620111
6.420861,0.013243912,-0.040448122,0.027558834,0.568776200050,0.058302486144,-0.183631480893,0.799608612755,-2.412696
6.487124,0.013236201,-0.039873251,0.027884950,0.565430391339,0.059279737887,-0.183851544136,0.801855968953,-2.189991
6.553924,0.013245570,-0.039575294,0.028080123,0.562088132898,0.059842251485,-0.185099262460,0.803874429764,-1.865988
6.620934,0.013350423,-0.039608158,0.028327331,0.560810147431,0.060599609617,-0.186061095172,0.804487995384,-2.176649
