time_s,x,y,z,vx,vy,vz,ax,ay,az,displacement_norm_m,speed_norm_m_s,acc_norm_m_s2
0.080297,0.000000208,0.000691252,0.000476770,0.000983571,0.003307227,0.005966425,0.106315759,0.357483502,0.644920555,0.000839725,0.006892270,0.744996656
0.081276,0.000001222,0.000694661,0.000482920,0.001087668,0.003657250,0.006597887,0.106210287,0.357128856,0.644280753,0.000846030,0.007621720,0.744257572
0.082255,0.000002338,0.000698412,0.000489687,0.001191266,0.004005595,0.007226321,0.105303228,0.354078897,0.638778455,0.000852982,0.008347672,0.737901450
0.083234,0.000003554,0.000702502,0.000497066,0.001293601,0.004349693,0.007847093,0.103636771,0.348475485,0.628669581,0.000860579,0.009064772,0.726223923
0.084213,0.000004870,0.000706926,0.000505048,0.001393950,0.004687113,0.008455818,0.101253104,0.340460478,0.614210053,0.000868816,0.009767957,0.709520625
0.085192,0.000006283,0.000711676,0.000513617,0.001491631,0.005015564,0.009048362,0.098194417,0.330175734,0.595655791,0.000877682,0.010452449,0.688087189
0.086171,0.000007789,0.000716743,0.000522758,0.001586005,0.005332893,0.009620842,0.094502897,0.317763113,0.573262716,0.000887162,0.011113764,0.662219250
0.087150,0.000009387,0.000722114,0.000532447,0.001676472,0.005637086,0.010169624,0.090220735,0.303364472,0.547286749,0.000897238,0.011747705,0.632212440
0.088129,0.000011070,0.000727775,0.000542661,0.001762475,0.005926270,0.010691327,0.085390118,0.287121670,0.517983811,0.000907888,0.012350363,0.598362394
0.089108,0.000012836,0.000733712,0.000553370,0.001843498,0.006198707,0.011182819,0.080053235,0.269176565,0.485609823,0.000919085,0.012918123,0.560964744
0.090087,0.000014678,0.000739906,0.000564545,0.001919066,0.006452800,0.011641219,0.074252276,0.249671017,0.450420705,0.000930800,0.013447655,0.520315125
0.091066,0.000016591,0.000746340,0.000576152,0.001988744,0.006687092,0.012063895,0.068029429,0.228746884,0.412672379,0.000943000,0.013935920,0.476709170
0.092045,0.000018570,0.000752992,0.000588154,0.002052142,0.006900263,0.012448467,0.061426883,0.206546023,0.372620765,0.000955650,0.014380169,0.430442512
0.093024,0.000020607,0.000759843,0.000600513,0.002108906,0.007091133,0.012792807,0.054486827,0.183210295,0.330521785,0.000968711,0.014777942,0.381810786
0.094003,0.000022697,0.000766869,0.000613188,0.002158729,0.007258660,0.013095035,0.047251449,0.158881556,0.286631358,0.000982142,0.015127068,0.331109625
0.094982,0.000024832,0.000774047,0.000626138,0.002201341,0.007401941,0.013353522,0.039762938,0.133701667,0.241205406,0.000995899,0.015425666,0.278634662
0.095961,0.000027005,0.000781354,0.000639319,0.002236515,0.007520212,0.013566890,0.032063483,0.107812485,0.194499850,0.001009936,0.015672144,0.224681531
0.096940,0.000029208,0.000788763,0.000652686,0.002264065,0.007612849,0.013734013,0.024195273,0.081355868,0.146770610,0.001024207,0.015865200,0.169545866
0.097919,0.000031435,0.000796251,0.000666194,0.002283847,0.007679366,0.013854012,0.016200497,0.054473676,0.098273608,0.001038662,0.016003820,0.113523300
0.098898,0.000033677,0.000803791,0.000679797,0.002295757,0.007719414,0.013926262,0.008121343,0.027307768,0.049264765,0.001053251,0.016087282,0.056909467
0.099877,0.000035928,0.000811357,0.000693446,0.002299734,0.007732787,0.013950388,-0.000000000,-0.000000000,-0.000000000,0.001067922,0.016115151,0.000000000
0.100855,0.000038178,0.000818922,0.000707095,0.002295757,0.007719414,0.013926262,-0.008121343,-0.027307768,-0.049264765,0.001082624,0.016087282,0.056909467
0.101834,0.000040420,0.000826462,0.000720698,0.002283847,0.007679366,0.013854012,-0.016200497,-0.054473676,-0.098273608,0.001097305,0.016003820,0.113523300
0.102813,0.000042647,0.000833950,0.000734206,0.002264065,0.007612849,0.013734013,-0.024195273,-0.081355868,-0.146770610,0.001111912,0.015865200,0.169545866
0.103792,0.000044850,0.000841359,0.000747573,0.002236515,0.007520212,0.013566890,-0.032063483,-0.107812485,-0.194499850,0.001126394,0.015672144,0.224681531
0.104771,0.000047023,0.000848666,0.000760754,0.002201341,0.007401941,0.013353522,-0.039762938,-0.133701667,-0.241205406,0.001140698,0.015425666,0.278634662
0.105750,0.000049158,0.000855844,0.000773704,0.002158729,0.007258660,0.013095035,-0.047251449,-0.158881556,-0.286631358,0.001154774,0.015127068,0.331109625
0.106729,0.000051248,0.000862870,0.000786379,0.002108906,0.007091133,0.012792807,-0.054486827,-0.183210295,-0.330521785,0.001168573,0.014777942,0.381810786
0.107708,0.000053285,0.000869721,0.000798738,0.002052142,0.006900263,0.012448467,-0.061426883,-0.206546023,-0.372620765,0.001182047,0.014380169,0.430442512
0.108687,0.000055264,0.000876373,0.000810740,0.001988744,0.006687092,0.012063895,-0.068029429,-0.228746884,-0.412672379,0.001195150,0.013935920,0.476709170
0.109666,0.000057177,0.000882807,0.000822347,0.001919066,0.006452800,0.011641219,-0.074252276,-0.249671017,-0.450420705,0.001207837,0.013447655,0.520315125
0.110645,0.000059019,0.000889001,0.000833522,0.001843498,0.006198707,0.011182819,-0.080053235,-0.269176565,-0.485609823,0.001220067,0.012918123,0.560964744
0.111624,0.000060785,0.000894938,0.000844231,0.001762475,0.005926270,0.010691327,-0.085390118,-0.287121670,-0.517983811,0.001231801,0.012350363,0.598362394
0.112603,0.000062468,0.000900599,0.000854445,0.001676472,0.005637086,0.010169624,-0.090220735,-0.303364472,-0.547286749,0.001243003,0.011747705,0.632212440
0.113582,0.000064066,0.000905970,0.000864134,0.001586005,0.005332893,0.009620842,-0.094502897,-0.317763113,-0.573262716,0.001253640,0.011113764,0.662219250
0.114561,0.000065572,0.000911037,0.000873275,0.001491631,0.005015564,0.009048362,-0.098194417,-0.330175734,-0.595655791,0.001263683,0.010452449,0.688087189
0.115540,0.000066985,0.000915787,0.000881844,0.001393950,0.004687113,0.008455818,-0.101253104,-0.340460478,-0.614210053,0.001273107,0.009767957,0.709520625
0.116519,0.000068301,0.000920211,0.000889826,0.001293601,0.004349693,0.007847093,-0.103636771,-0.348475485,-0.628669581,0.001281890,0.009064772,0.726223923
