time_s,x_filtered,y_filtered,z_filtered,vx,vy,vz,ax,ay,az,speed_norm_m_s,acc_norm_m_s2
0.098898,0.000110925,0.000127041,0.000588782,0.001103477,-0.000705094,0.004490510,0.003903598,-0.002494300,0.015885376,0.004677553,0.016547048
0.099877,0.000112007,0.000126349,0.000593183,0.001105388,-0.000706315,0.004498289,-0.000000000,0.000000000,-0.000000000,0.004685656,0.000000000
0.100855,0.000113088,0.000125658,0.000597584,0.001103477,-0.000705094,0.004490510,-0.003903598,0.002494300,-0.015885376,0.004677553,0.016547048
0.101834,0.000114166,0.000124970,0.000601970,0.001097752,-0.000701436,0.004467213,-0.007786917,0.004975644,-0.031688231,0.004653285,0.033008137
0.102813,0.000115236,0.000124286,0.000606326,0.001088244,-0.000695360,0.004428519,-0.011629680,0.007431072,-0.047326043,0.004612980,0.049297309
0.103792,0.000116295,0.000123609,0.000610636,0.001075001,-0.000686899,0.004374631,-0.015411607,0.009847628,-0.062716291,0.004556847,0.065328605
0.104771,0.000117340,0.000122942,0.000614886,0.001058095,-0.000676096,0.004305830,-0.019112421,0.012212354,-0.077776453,0.004485181,0.081016065
0.105750,0.000118366,0.000122286,0.000619062,0.001037613,-0.000663008,0.004222481,-0.022711842,0.014512294,-0.092424008,0.004398360,0.096273733
0.106729,0.000119370,0.000121644,0.000623149,0.001013665,-0.000647706,0.004125028,-0.026189593,0.016734489,-0.106576434,0.004296848,0.111015648
0.107708,0.000120350,0.000121018,0.000627134,0.000986381,-0.000630272,0.004013996,-0.029525394,0.018865982,-0.120151210,0.004181191,0.125155853
0.108687,0.000121301,0.000120411,0.000631004,0.000955908,-0.000610801,0.003889991,-0.032698969,0.020893816,-0.133065815,0.004052021,0.138608388
0.109666,0.000122220,0.000119823,0.000634747,0.000922417,-0.000589401,0.003753700,-0.035690037,0.022805033,-0.145237727,0.003910052,0.151287295
0.110645,0.000123106,0.000119257,0.000638350,0.000886094,-0.000566192,0.003605889,-0.038478321,0.024586676,-0.156584424,0.003756085,0.163106615
0.111624,0.000123954,0.000118715,0.000641804,0.000847150,-0.000541307,0.003447408,-0.041043543,0.026225788,-0.167023386,0.003591003,0.173980389
0.112603,0.000124764,0.000118198,0.000645097,0.000805812,-0.000514893,0.003279186,-0.043365423,0.027709411,-0.176472090,0.003415773,0.183822659
0.113582,0.000125531,0.000117707,0.000648221,0.000762328,-0.000487108,0.003102231,-0.045423684,0.029024587,-0.184848016,0.003231448,0.192547466
0.114561,0.000126256,0.000117245,0.000651169,0.000716966,-0.000458123,0.002917636,-0.047198046,0.030158360,-0.192068641,0.003039164,0.200068851
0.115540,0.000126935,0.000116811,0.000653932,0.000670015,-0.000428122,0.002726570,-0.048668233,0.031097772,-0.198051446,0.002840140,0.206300856
0.116519,0.000127567,0.000116407,0.000656505,0.000621781,-0.000397302,0.002530288,-0.049813964,0.031829865,-0.202713907,0.002635681,0.211157522
0.117498,0.000128152,0.000116033,0.000658885,0.000572593,-0.000365872,0.002330120,-0.050614962,0.032341683,-0.205973503,0.002427177,0.214552891
0.118477,0.000128688,0.000115690,0.000661067,0.000522798,-0.000334054,0.002127482,-0.051050948,0.032620267,-0.207747714,0.002216098,0.216401003
0.119456,0.000129175,0.000115379,0.000663050,0.000472762,-0.000302083,0.001923868,-0.051101644,0.032652661,-0.207954018,0.002004003,0.216615899
0.120435,0.000129614,0.000115099,0.000664834,0.000422874,-0.000270206,0.001720853,-0.050746772,0.032425906,-0.206509893,0.001792532,0.215111622
0.121414,0.000130004,0.000114850,0.000666420,0.000373541,-0.000238683,0.001520093,-0.049966052,0.031927046,-0.203332817,0.001583410,0.211802213
0.122393,0.000130345,0.000114631,0.000667812,0.000325188,-0.000207787,0.001323326,-0.048739207,0.031143123,-0.198340271,0.001378446,0.206601712
0.123372,0.000130641,0.000114443,0.000669013,0.000278263,-0.000177803,0.001132368,-0.047045958,0.030061180,-0.191449731,0.001179535,0.199424161
0.124351,0.000130891,0.000114283,0.000670031,0.000233232,-0.000149029,0.000949119,-0.044866027,0.028668258,-0.182578676,0.000988653,0.190183602
0.125330,0.000131098,0.000114150,0.000670875,0.000190582,-0.000121777,0.000775558,-0.042179135,0.026951402,-0.171644586,0.000807862,0.178794076
0.126309,0.000131265,0.000114044,0.000671554,0.000150819,-0.000096369,0.000613744,-0.038965004,0.024897654,-0.158564939,0.000639308,0.165169623
0.127288,0.000131395,0.000113961,0.000672081,0.000114468,-0.000073142,0.000465819,-0.035203355,0.022494055,-0.143257212,0.000485222,0.149224286
0.128267,0.000131490,0.000113900,0.000672471,0.000082077,-0.000052445,0.000334005,-0.030873910,0.019727649,-0.125638886,0.000347917,0.130872106
0.129246,0.000131557,0.000113857,0.000672741,0.000054210,-0.000034639,0.000220603,-0.025956391,0.016585478,-0.105627438,0.000229792,0.110027123
0.130225,0.000131598,0.000113831,0.000672910,0.000031453,-0.000020098,0.000127997,-0.020430518,0.013054586,-0.083140346,0.000133329,0.086603380
0.131204,0.000131620,0.000113817,0.000672999,0.000014413,-0.000009209,0.000058652,-0.014276015,0.009122013,-0.058095091,0.000061095,0.060514918
0.133162,0.000131630,0.000113811,0.000673038,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000
0.134145,0.000131631,0.000113807,0.000673042,0.000004354,-0.000012116,0.000011982,0.008729015,-0.024292365,0.024023543,0.000017588,0.035262520
0.135127,0.000131641,0.000113780,0.000673069,0.000016899,-0.000047028,0.000046508,0.016676328,-0.046409294,0.045895723,0.000068266,0.067367202
0.136110,0.000131667,0.000113708,0.000673140,0.000036879,-0.000102632,0.000101496,0.023865626,-0.066416710,0.065681735,0.000148979,0.096409739
0.137093,0.000131716,0.000113572,0.000673274,0.000063561,-0.000176885,0.000174928,0.030320596,-0.084380535,0.083446770,0.000256765,0.122485822
0.138075,0.000131794,0.000113354,0.000673489,0.000096234,-0.000267814,0.000264850,0.036064928,-0.100366691,0.099256021,0.000388756,0.145691144
0.139058,0.000131907,0.000113041,0.000673800,0.000134213,-0.000373506,0.000369373,0.041122309,-0.114441101,0.113174682,0.000542178,0.166121397
0.140040,0.000132059,0.000112616,0.000674219,0.000176833,-0.000492116,0.000486671,0.045516426,-0.126669686,0.125267944,0.000714351,0.183872272
0.141023,0.000132255,0.000112070,0.000674760,0.000223455,-0.000621863,0.000614981,0.049270969,-0.137118370,0.135601001,0.000902689,0.199039461
0.142006,0.000132499,0.000111391,0.000675431,0.000273462,-0.000761029,0.000752607,0.052409624,-0.145853074,0.144239046,0.001104701,0.211718658
0.142988,0.000132794,0.000110572,0.000676241,0.000326260,-0.000907963,0.000897915,0.054956081,-0.152939720,0.151247271,0.001317989,0.222005553
0.143971,0.000133141,0.000109605,0.000677197,0.000381279,-0.001061078,0.001049336,0.056934026,-0.158444232,0.156690868,0.001540248,0.229995839
0.144954,0.000133544,0.000108485,0.000678305,0.000437972,-0.001218851,0.001205363,0.058367148,-0.162432530,0.160635032,0.001769270,0.235785208
0.145936,0.000134002,0.000107208,0.000679567,0.000495815,-0.001379826,0.001364556,0.059279134,-0.164970539,0.163144955,0.002002939,0.239469352
0.146919,0.000134518,0.000105772,0.000680987,0.000554308,-0.001542608,0.001525538,0.059693674,-0.166124179,0.164285828,0.002239233,0.241143963
0.147901,0.000135092,0.000104176,0.000682566,0.000612974,-0.001705872,0.001686994,0.059634454,-0.165959373,0.164122846,0.002476224,0.240904733
0.148884,0.000135723,0.000102420,0.000684302,0.000671358,-0.001868352,0.001847677,0.059125163,-0.164542044,0.162721201,0.002712079,0.238847354
0.149867,0.000136411,0.000100505,0.000686196,0.000729031,-0.002028852,0.002006400,0.058189488,-0.161938113,0.160146086,0.002945058,0.235067518
0.150849,0.000137155,0.000098434,0.000688244,0.000785584,-0.002186237,0.002162043,0.056851118,-0.158213504,0.156462694,0.003173516,0.229660917
0.151832,0.000137954,0.000096210,0.000690444,0.000840634,-0.002339438,0.002313549,0.055133740,-0.153434137,0.151736216,0.003395901,0.222723244
0.152815,0.000138807,0.000093838,0.000692789,0.000893820,-0.002487451,0.002459925,0.053061043,-0.147665937,0.146031847,0.003610756,0.214350189
0.153797,0.000139710,0.000091324,0.000695276,0.000944804,-0.002629338,0.002600241,0.050656715,-0.140974824,0.139414779,0.003816717,0.204637446
0.154780,0.000140663,0.000088673,0.000697897,0.000993273,-0.002764223,0.002733634,0.047944443,-0.133426721,0.131950205,0.004012515,0.193680707
0.155763,0.000141661,0.000085894,0.000700646,0.001038935,-0.002891298,0.002859302,0.044947915,-0.125087551,0.123703317,0.004196975,0.181575663
0.156745,0.000142703,0.000082994,0.000703514,0.001081522,-0.003009816,0.002976509,0.041690820,-0.116023236,0.114739309,0.004369015,0.168418006
0.157728,0.000143786,0.000079982,0.000706493,0.001120791,-0.003119098,0.003084582,0.038196845,-0.106299698,0.105123372,0.004527647,0.154303429
0.158710,0.000144905,0.000076867,0.000709573,0.001156519,-0.003218529,0.003182912,0.034489678,-0.095982859,0.094920701,0.004671980,0.139327623
0.159693,0.000146057,0.000073660,0.000712744,0.001188510,-0.003307557,0.003270955,0.030593008,-0.085138642,0.084196487,0.004801212,0.123586281
0.160676,0.000147239,0.000070370,0.000715997,0.001216588,-0.003385698,0.003348231,0.026530522,-0.073832968,0.073015924,0.004914640,0.107175095
0.161658,0.000148447,0.000067010,0.000719321,0.001240603,-0.003452529,0.003414323,0.022325908,-0.062131761,0.061444204,0.005011652,0.090189756
0.162641,0.000149676,0.000063589,0.000722704,0.001260426,-0.003507695,0.003468878,0.018002854,-0.050100943,0.049546520,0.005091730,0.072725957
0.163624,0.000150923,0.000060120,0.000726134,0.001275952,-0.003550904,0.003511609,0.013585048,-0.037806435,0.037388065,0.005154452,0.054879390
0.164606,0.000152182,0.000056615,0.000729601,0.001287101,-0.003581930,0.003542292,0.009096179,-0.025314161,0.025034031,0.005199489,0.036745747
0.165589,0.000153451,0.000053085,0.000733092,0.001293813,-0.003600610,0.003560765,0.004559933,-0.012690041,0.012549612,0.005226605,0.018420719
0.166571,0.000154723,0.000049543,0.000736595,0.001296054,-0.003606848,0.003566934,0.000000000,-0.000000000,0.000000000,0.005235659,0.000000000
0.167554,0.000155996,0.000046000,0.000740098,0.001293813,-0.003600610,0.003560765,-0.004559933,0.012690041,-0.012549612,0.005226605,0.018420719
0.168537,0.000157265,0.000042470,0.000743589,0.001287101,-0.003581930,0.003542292,-0.009096179,0.025314161,-0.025034031,0.005199489,0.036745747
0.169519,0.000158524,0.000038965,0.000747055,0.001275952,-0.003550904,0.003511609,-0.013585048,0.037806435,-0.037388065,0.005154452,0.054879390
0.170502,0.000159771,0.000035496,0.000750486,0.001260426,-0.003507695,0.003468878,-0.018002854,0.050100943,-0.049546520,0.005091730,0.072725957
0.171485,0.000161000,0.000032075,0.000753869,0.001240603,-0.003452529,0.003414323,-0.022325908,0.062131761,-0.061444204,0.005011652,0.090189756
0.172467,0.000162207,0.000028715,0.000757192,0.001216588,-0.003385698,0.003348231,-0.026530522,0.073832968,-0.073015924,0.004914640,0.107175095
